contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
ORCL251219C00280000,280.0,-9722.0,空头平仓 Call，回补信号，看涨,2.496095781186657,CALL,22299.0,32021.0,31207620.0,3.874257651941763e-05,10M-50M,2025-12-19,32.1,32.7,33.2,1709.0,0.5408981457519533,True,ORCL,29.4,0.09183673469387765,0.02496095781186657,805512250440.0,9.183673469387765,-9722.0
META251031P00730000,730.0,5133.0,多头买 Put，看跌,-2.498029850527947,PUT,5595.0,462.0,21353280.0,1.1428612887727046e-05,10M-50M,2025-10-31,41.6,41.7,42.1,453.0,0.4133664620971679,True,META,30.55,0.3617021276595745,-0.02498029850527947,1868405222031.0,36.17021276595745,5133.0
COIN251003C00340000,340.0,11021.0,多头买 Call，看涨,3.080097138297649,CALL,13972.0,2951.0,11516945.0,0.00014339486773572098,10M-50M,2025-10-03,10.45,10.4,10.75,3002.0,0.4919484399414063,True,COIN,6.35,0.6456692913385826,0.03080097138297649,80316298497.0,64.56692913385827,11021.0
WDC251017C00100000,100.0,3679.0,多头买 Call，看涨,5.022487841009656,CALL,4934.0,1255.0,9039303.0,0.00024378473049811833,5M-10M,2025-10-17,24.57,24.65,25.5,8.0,1.0000000000000004e-05,True,WDC,20.1,0.22238805970149247,0.050224878410096555,37079036827.0,22.238805970149247,3679.0
COIN251003C00327500,327.5,-3654.0,空头平仓 Call，回补信号，看涨,3.080097138297649,CALL,13563.0,17217.0,7874370.0,9.804199331091093e-05,5M-10M,2025-10-03,21.55,19.3,20.95,8135.0,0.5090381127929688,True,COIN,13.25,0.6264150943396227,0.03080097138297649,80316298497.0,62.64150943396227,-3654.0
COIN251003C00347500,347.5,12211.0,多头买 Call，看涨,3.080097138297649,CALL,12821.0,610.0,7692930.0,9.578292505956744e-05,5M-10M,2025-10-03,6.3,6.25,6.6,3674.0,0.5014698291015626,True,COIN,3.85,0.6363636363636362,0.03080097138297649,80316298497.0,63.636363636363626,12211.0
MSTR251003P00410000,410.0,-870.0,多头平仓 Put，减仓，看跌减弱,6.251950502439957,PUT,8.0,878.0,6168300.000000001,7.038636255787021e-05,5M-10M,2025-10-03,70.9,68.95,69.65,3.0,1.398196368408203,True,MSTR,90.01,-0.21230974336184866,0.06251950502439957,87634873800.0,-21.230974336184865,-870.0
WBD251219C00015000,15.0,-11245.0,多头平仓 Call，减仓，看涨减弱,-1.097286984665523,CALL,11045.0,22290.0,5734949.999999999,0.00011873032868468538,5M-10M,2025-12-19,5.1,4.9,5.05,8.0,0.6826203613281252,True,WBD,5.1,0.0,-0.01097286984665523,48302317222.0,0.0,-11245.0
BE251121C00065000,65.0,-2033.0,空头平仓 Call，回补信号，看涨,2.672344973851033,CALL,10764.0,12797.0,5529760.0,0.0003360588453030449,5M-10M,2025-11-21,27.2,27.1,27.4,164.0,1.2214394396972654,True,BE,25.5,0.06666666666666664,0.02672344973851033,16454737250.0,6.666666666666663,-2033.0
AVGO251017C00315000,315.0,-2443.0,空头平仓 Call，回补信号，看涨,1.4488796114811067,CALL,144.0,2587.0,5472320.0,3.463991848140392e-06,5M-10M,2025-10-17,22.4,21.55,21.85,18.0,0.3118965295410155,True,AVGO,20.98,0.0676835081029551,0.014488796114811067,1579772770810.0,6.7683508102955106,-2443.0
