contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
SHOP260918C00100000,100.0,45087.0,多头买 Call，看涨,1.588576805367667,CALL,45373.0,286.0,94141656.0,0.0005165908803033269,>50M,2026-09-18,107.11499786376952,105.44000244140624,106.8000030517578,109.2300033569336,106.6999969482422,20.88,20.55,20.9,13.0,0.6776155285644532,True,SHOP,19.35,0.07906976744186034,0.01588576805367667,182236387806.0,7.906976744186034,45087.0
TSLA260717C00390000,390.0,10823.0,多头买 Call，看涨,3.629022351467629,CALL,17193.0,6370.0,47350625.0,3.33340621741909e-05,10M-50M,2026-07-17,413.2000122070313,398.7300109863281,407.5199890136719,414.3999938964844,406.9100036621094,43.75,43.55,44.7,48.0,0.448125635986328,True,TSLA,36.85,0.1872455902306648,0.03629022351467629,1420487690716.0,18.72455902306648,10823.0
TSM261218P00400000,400.0,10054.0,多头买 Put，看跌,-1.0893938794323463,PUT,10224.0,170.0,46268508.0,3.263414517010457e-05,10M-50M,2026-12-18,414.9299926757813,419.5,418.0899963378906,420.0,414.0201110839844,46.02,44.85,47.85,10469.0,0.4325313095092773,False,TSM,46.02,0.0,-0.010893938794323463,1417794391697.0,0.0,10054.0
TSLA260717C00395000,395.0,10620.0,多头买 Call，看涨,3.629022351467629,CALL,11419.0,799.0,43318980.0,3.0495850321775735e-05,10M-50M,2026-07-17,413.2000122070313,398.7300109863281,407.5199890136719,414.3999938964844,406.9100036621094,40.79,40.8,41.5,10.0,0.4425409750366211,True,TSLA,33.69,0.21074502819827848,0.03629022351467629,1420487690716.0,21.07450281982785,10620.0
PLTR260918C00155000,155.0,40326.0,多头买 Call，看涨,3.032141313797885,CALL,44077.0,3751.0,41334150.0,9.812101718573068e-05,10M-50M,2026-09-18,137.84669494628906,133.7899932861328,135.09500122070312,138.6699981689453,134.8000030517578,10.25,10.25,11.1,40676.0,0.5085498364257812,False,PLTR,10.15,0.009852216748768438,0.030321413137978852,421256843697.0,0.9852216748768439,40326.0
SHOP260618C00095000,95.0,-22603.0,空头平仓 Call，回补信号，看涨,1.588576805367667,CALL,22688.0,45291.0,36842890.0,0.00020217087511206132,10M-50M,2026-06-18,107.11499786376952,105.44000244140624,106.8000030517578,109.2300033569336,106.6999969482422,16.3,15.85,16.8,2.0,0.6497837756347657,True,SHOP,14.09,0.15684882895670696,0.01588576805367667,182236387806.0,15.684882895670697,-22603.0
IREN260918C00065000,65.0,23877.0,空头卖 Call，看跌/看不涨,-1.5496879336145082,CALL,29791.0,5914.0,32592105.0,0.002862697300917523,10M-50M,2026-09-18,60.03499984741211,60.97999954223633,59.39500045776367,60.38600158691406,58.52199935913086,13.65,0.0,0.0,25533.0,0.0312596875,False,IREN,13.66,-0.0007320644216690913,-0.015496879336145082,11385103479.0,-0.07320644216690914,23877.0
MSTR260515C00140000,140.0,-5810.0,多头平仓 Call，减仓，看涨减弱,-1.6754120330273299,CALL,20620.0,26430.0,26726000.0,0.00030496991484228053,10M-50M,2026-05-15,183.69000244140625,186.82000732421875,184.2700042724609,184.3999938964844,182.0,46.0,0.0,0.0,13102.0,1.0000000000000004e-05,True,MSTR,46.0,0.0,-0.0167541203302733,87634873800.0,0.0,-5810.0
PLTR260717C00150000,150.0,-39331.0,空头平仓 Call，回补信号，看涨,3.032141313797885,CALL,23257.0,62588.0,23834586.0,5.6579700381422524e-05,10M-50M,2026-07-17,137.84669494628906,133.7899932861328,135.09500122070312,138.6699981689453,134.8000030517578,6.06,5.9,7.1,41836.0,0.4819387744140625,False,PLTR,5.95,0.018487394957983096,0.030321413137978852,421256843697.0,1.8487394957983097,-39331.0
MU260918C00500000,500.0,1075.0,空头卖 Call，看跌/看不涨,-1.279239414798426,CALL,4348.0,3273.0,22965225.0,0.00013048067095529538,10M-50M,2026-09-18,658.27001953125,666.7999877929688,650.3599853515625,663.9000244140625,641.0,213.63,0.0,0.0,1248.0,1.0000000000000004e-05,True,MU,215.89,-0.010468294038630742,-0.01279239414798426,176004804634.0,-1.0468294038630743,1075.0
TSLA280121P00510000,510.0,-1038.0,多头平仓 Put，减仓，看跌减弱,3.629022351467629,PUT,0.0,1038.0,19102314.0,1.3447715263460985e-05,10M-50M,2028-01-21,413.2000122070313,398.7300109863281,407.5199890136719,414.3999938964844,406.9100036621094,184.03,0.0,0.0,1.0,1.0000000000000004e-05,True,TSLA,184.03,0.0,0.03629022351467629,1420487690716.0,0.0,-1038.0
AMD270617P00450000,450.0,1487.0,多头买 Put，看跌,-1.828146760915073,PUT,1684.0,197.0,17635820.0,6.815021132244804e-05,10M-50M,2027-06-17,413.760986328125,421.4660034179688,417.1950073242188,420.23638916015625,410.5,118.6,0.0,0.0,1663.0,1.0000000000000004e-05,True,AMD,118.6,0.0,-0.01828146760915073,258778654648.0,0.0,1487.0
MRVL270319C00200000,200.0,3997.0,空头卖 Call，看跌/看不涨,-3.6566938089643863,CALL,4224.0,227.0,14888825.0,0.00020765198106348994,10M-50M,2027-03-19,165.85499572753906,172.14999389648438,171.1999969482422,171.51930236816406,163.6999969482422,37.25,0.0,0.0,4014.0,0.0312596875,False,MRVL,37.25,0.0,-0.03656693808964386,71700857000.0,0.0,3997.0
WOLF270115C00045000,45.0,10019.0,多头买 Call，看涨,9.888575070724201,CALL,10294.0,275.0,13625840.0,0.009356278817523503,10M-50M,2027-01-15,47.34000015258789,43.08000183105469,43.09000015258789,47.630001068115234,43.160099029541016,13.6,14.4,16.4,10271.0,0.9488530505371092,True,WOLF,13.6,0.0,0.09888575070724201,1456331119.0,0.0,10019.0
SNDK270115P01490000,1490.0,262.0,多头买 Put，看跌,-4.472754385156871,PUT,355.0,93.0,12964022.0,0.0009154972332073038,10M-50M,2027-01-15,1346.9150390625,1409.97998046875,1379.9000244140625,1397.02001953125,1327.239990234375,494.81,485.7,500.0,287.0,0.906262381477356,True,SNDK,494.81,0.0,-0.044727543851568706,14160634822.0,0.0,262.0
SNDK260618C01030000,1030.0,-262.0,多头平仓 Call，减仓，看涨减弱,-4.472754385156871,CALL,288.0,550.0,11155960.0,0.000787814963116489,10M-50M,2026-06-18,1346.9150390625,1409.97998046875,1379.9000244140625,1397.02001953125,1327.239990234375,425.8,399.4,413.0,524.0,1.3156314736175534,True,SNDK,425.8,0.0,-0.044727543851568706,14160634822.0,0.0,-262.0
MU270319P00630000,630.0,696.0,多头买 Put，看跌,-1.279239414798426,PUT,723.0,27.0,10832543.999999998,6.15468652831731e-05,10M-50M,2027-03-19,658.27001953125,666.7999877929688,650.3599853515625,663.9000244140625,641.0,155.64,0.0,0.0,702.0,0.007822421875,False,MU,155.64,0.0,-0.01279239414798426,176004804634.0,0.0,696.0
IREN261218P00060000,60.0,6013.0,多头买 Put，看跌,-1.5496879336145082,PUT,6368.0,355.0,10222100.0,0.0008978486685566646,10M-50M,2026-12-18,60.03499984741211,60.97999954223633,59.39500045776367,60.38600158691406,58.52199935913086,17.0,0.0,0.0,6139.0,0.0004982763671875,False,IREN,17.0,0.0,-0.015496879336145082,11385103479.0,0.0,6013.0
WOLF261218C00045000,45.0,5122.0,多头买 Call，看涨,9.888575070724201,CALL,25483.0,20361.0,7683000.0,0.005275585956904901,5M-10M,2026-12-18,47.34000015258789,43.08000183105469,43.09000015258789,47.630001068115234,43.160099029541016,15.0,13.65,16.0,1.0,0.9631351342773438,True,WOLF,12.62,0.18858954041204445,0.09888575070724201,1456331119.0,18.858954041204445,5122.0
