contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
MU260918P01200000,1200.0,-1030.0,-87.58503401360545,空头平仓 Put，回补，看跌信号减弱,-5.215018030297921,PUT,146.0,1176.0,29316375.0,0.00016656576541170605,10M-50M,2026-09-18,284.625,223.39999999999998,mid,mid,0.0391743522178304,924.4000244140624,975.260009765625,906.75,927.0,902.5999755859376,224.45,279.05,290.2,1215.0,1.7001968115234376,True,MU,224.45,0.042972247090420745,0.2740599820948972,-0.052150180302979215,176004804634.0,27.405998209489717,-1030.0
AVGO281215P00310000,310.0,3605.0,362.31155778894475,多头买 Put，看跌,-4.176909728193829,PUT,4600.0,995.0,20872950.0,1.321262803466208e-05,10M-50M,2028-12-15,57.9,53.349999999999994,mid,mid,0.03454231433506045,346.8699951171875,361.989990234375,349.4599914550781,350.25,343.9100036621094,57.5,56.9,58.9,11.0,0.3917754914855957,False,AVGO,53.15,0.0262417994376757,0.0852858481724462,-0.04176909728193829,1579772770810.0,8.528584817244619,3605.0
NVDA261016P00220000,220.0,-16327.0,-31.514437924644845,空头平仓 Put，回补，看跌信号减弱,-2.922712822506997,PUT,35481.0,51808.0,20857742.5,4.817011688406766e-06,10M-50M,2026-10-16,12.774999999999999,9.0,mid,mid,0.011741682974559716,211.91000366210935,218.2899932861328,211.0800018310547,212.1999969482422,208.92999267578125,12.85,12.7,12.85,608.0,0.3155586022949218,True,NVDA,9.0,0.01111111111111127,0.4194444444444443,-0.029227128225069968,4330017000000.0,41.94444444444443,-16327.0
MSTR281215P00130000,130.0,3497.0,1222.7272727272727,空头卖 Put，看涨/看不跌,3.4855328692511582,PUT,3783.0,286.0,17581167.5,0.00020061839240076592,10M-50M,2028-12-15,50.275,51.8,mid,mid,0.05072103431128786,135.53500366210938,130.97000122070312,130.8800048828125,136.5395965576172,130.72999572753906,51.1,49.0,51.55,1.0,0.696841410522461,False,MSTR,51.72,0.10038610038610031,-0.029440154440154416,0.03485532869251158,87634873800.0,-2.9440154440154416,3497.0
SNOW280121P00300000,300.0,2955.0,800.8130081300812,空头卖 Put，看涨/看不跌,1.2735957219918028,PUT,3324.0,369.0,17375400.0,0.00022829916295825386,10M-50M,2028-01-21,58.8,59.325,mid,mid,0.05612244897959191,333.17999267578125,328.989990234375,329.0,334.5,319.0,59.5,57.15,60.45,3007.0,0.5126925562286376,False,SNOW,59.5,0.0952380952380952,-0.008849557522123989,0.012735957219918029,76108032000.0,-0.8849557522123989,2955.0
GOOGL280121C00410000,410.0,3633.0,1391.9540229885058,多头买 Call，看涨,2.0206783863783233,CALL,3894.0,261.0,15258600.0,5.1174938845032485e-06,10M-50M,2028-01-21,42.0,39.025000000000006,mid,mid,0.030952380952380884,345.3399963378906,338.5,343.20001220703125,347.2799987792969,342.2799987792969,41.9,41.35,42.65,27.0,0.4051878329467773,False,GOOGL,39.0,0.016655989750160114,0.07623318385650209,0.020206783863783235,2981654760000.0,7.623318385650209,3633.0
AMZN270416P00260000,260.0,5001.0,21743.478260869564,多头买 Put，看跌,-1.5012834900947414,PUT,5024.0,23.0,13927785.0,5.942054144009503e-06,10M-50M,2027-04-16,27.85,25.875,mid,mid,0.025134649910233366,252.9250030517578,256.7799987792969,253.375,255.1999969482422,250.75,27.9,27.5,28.2,3.0,0.3129035995483398,True,AMZN,26.57,0.013526570048309233,0.07632850241545899,-0.015012834900947415,2343934380679.0,7.632850241545899,5001.0
MU270617P01060000,1060.0,519.0,350.6756756756757,多头买 Put，看跌,-5.215018030297921,PUT,667.0,148.0,13897522.499999998,7.89610404607973e-05,10M-50M,2027-06-17,267.775,241.525,mid,mid,0.03566427037624876,924.4000244140624,975.260009765625,906.75,927.0,902.5999755859376,241.52,263.0,272.55,558.0,0.5647016186523439,True,MU,243.11,0.027947417451609564,0.10868440120070375,-0.052150180302979215,176004804634.0,10.868440120070375,519.0
UNH260918C00280000,280.0,-1195.0,-97.55102040816327,空头平仓 Call，回补信号，看涨,1.2714678231505163,CALL,30.0,1225.0,12445925.0,3.9938893587957084e-05,10M-50M,2026-09-18,104.15,99.75,mid,mid,0.030724915986557876,383.9100036621094,379.0899963378906,381.4400024414063,385.2200012207031,379.2814025878906,98.45,102.55,105.75,6706.0,1.3330111474609372,True,UNH,98.45,0.06416040100250632,0.044110275689223113,0.012714678231505164,311624180890.0,4.411027568922312,-1195.0
SNDK270617P01950000,1950.0,173.0,80.8411214953271,多头买 Put，看跌,-5.772187878048217,PUT,387.0,214.0,10969929.999999998,0.0007746778402163924,10M-50M,2027-06-17,634.0999999999999,595.75,mid,mid,0.01987068285759348,1539.0699462890625,1633.3499755859375,1521.5250244140625,1565.9200439453125,1505.0,594.72,627.8,640.4,177.0,0.6638026478958131,True,SNDK,594.72,0.0209819555182543,0.06437263953000405,-0.05772187878048217,14160634822.0,6.437263953000405,173.0
