contractSymbol,strike,lastPrice_new,bid,ask,volume_new,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,signal_type,stock_price_change_pct,option_price_change_pct,volume_change_abs,amount_threshold,amount_tier
NVDA251003C00185000,185.0,3.2,3.1,3.15,297177.0,80875.0,0.2893137475585937,True,CALL,2025-10-03,NVDA,0.0,1.35,297177.0,100.0,1.3703703703703702,0.02631283058960429,买Call，看涨,2.6312830589604292,137.037037037037,297177.0,95096640.0,>50M
NVDA251003C00180000,180.0,6.69,6.65,6.7,87614.0,82145.0,0.2050860742187499,True,CALL,2025-10-03,NVDA,0.0,3.9,87614.0,100.0,0.7153846153846155,0.02631283058960429,买Call，看涨,2.6312830589604292,71.53846153846155,87614.0,58613766.0,>50M
ORCL251219C00280000,280.0,28.1,28.3,28.65,20677.0,32021.0,0.5630536859130859,False,CALL,2025-12-19,ORCL,0.0,30.2,20677.0,100.0,-0.06953642384105953,-0.01662191273414869,卖Call，看跌,-1.662191273414869,-6.953642384105953,20677.0,58102370.00000001,>50M
TSLA251003P00440000,440.0,13.3,13.25,13.3,29340.0,5698.0,0.5814250842285156,True,PUT,2025-10-03,TSLA,0.0,10.17,29340.0,100.0,0.3077679449360866,-0.01841114555048675,买Put，看跌,-1.841114555048675,30.776794493608662,29340.0,39022200.0,10M-50M
NVDA251003C00187500,187.5,1.95,1.88,1.89,196155.0,70656.0,0.2944406494140624,False,CALL,2025-10-03,NVDA,0.0,0.71,196155.0,100.0,1.7464788732394367,0.02631283058960429,买Call，看涨,2.6312830589604292,174.64788732394368,196155.0,38250225.0,10M-50M
NVDA251003C00182500,182.5,4.8,4.7,4.75,73049.0,72571.0,0.2678295874023437,True,CALL,2025-10-03,NVDA,0.0,2.41,73049.0,100.0,0.9917012448132778,0.02631283058960429,买Call，看涨,2.6312830589604292,99.17012448132778,73049.0,35063520.0,10M-50M
TSLA251003P00437500,437.5,11.85,11.85,11.95,22153.0,2982.0,0.583866466064453,True,PUT,2025-10-03,TSLA,0.0,9.21,22153.0,100.0,0.286644951140065,-0.01841114555048675,买Put，看跌,-1.841114555048675,28.6644951140065,22153.0,26251305.0,10M-50M
TSLA251003C00440000,440.0,8.75,8.75,8.85,29934.0,16463.0,0.6073037316894532,False,CALL,2025-10-03,TSLA,0.0,13.7,29934.0,100.0,-0.36131386861313863,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-36.131386861313864,29934.0,26192250.0,10M-50M
NVDA251003C00190000,190.0,1.09,1.08,1.09,199278.0,74526.0,0.30664755859375,False,CALL,2025-10-03,NVDA,0.0,0.37,199278.0,100.0,1.9459459459459463,0.02631283058960429,买Call，看涨,2.6312830589604292,194.59459459459464,199278.0,21721302.0,10M-50M
CRWV251003C00140000,140.0,4.2,4.1,4.2,47200.0,19452.0,0.9150399121093752,False,CALL,2025-10-03,CRWV,0.0,0.43,47200.0,100.0,8.767441860465116,0.12246978178698084,买Call，看涨,12.246978178698084,876.7441860465116,47200.0,19824000.0,10M-50M
