contractSymbol,strike,lastPrice_new,bid,ask,volume_new,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,signal_type,stock_price_change_pct,option_price_change_pct,volume_change_abs,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier
BE251121C00060000,60.0,29.9,27.9,29.5,3042.0,5232.0,1.1906778747558593,True,CALL,2025-11-21,BE,6.0,23.71,3036.0,50600.0,0.26107127794179663,0.049646270511987584,16454737250.0,买Call，看涨,4.964627051198758,26.107127794179664,3036.0,9077640.0,0.055167334865830205,5232.0,5M-10M
HOOD251003C00136000,136.0,8.35,8.0,8.3,12216.0,12920.0,0.5883830224609375,True,CALL,2025-10-03,HOOD,2537.0,5.5,9679.0,381.5135987386677,0.5181818181818181,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,51.818181818181806,9679.0,8081964.999999999,0.007520410665946794,12920.0,5M-10M
HOOD251003C00135000,135.0,9.08,8.95,9.15,14490.0,21083.0,0.6132851171875001,True,CALL,2025-10-03,HOOD,6225.0,6.5,8265.0,132.77108433734938,0.39692307692307693,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,39.69230769230769,8265.0,7504620.0,0.006983180982827523,21083.0,5M-10M
HOOD251003C00141000,141.0,4.6,4.5,4.65,24270.0,12333.0,0.5686078295898438,True,CALL,2025-10-03,HOOD,12327.0,2.75,11943.0,96.8848868337795,0.6727272727272726,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,67.27272727272727,11943.0,5493780.0,0.005112058974316912,12333.0,5M-10M
TGT251010C00075000,75.0,13.03,14.75,15.15,4000.0,19.0,0.6669955175781253,True,CALL,2025-10-10,TGT,0.0,12.22,4000.0,100.0,0.06628477905073639,0.024440377447662493,39918965152.0,买Call，看涨,2.4440377447662494,6.628477905073639,4000.0,5212000.0,0.013056450687421868,19.0,5M-10M
HOOD251003C00138000,138.0,6.66,6.55,6.75,10363.0,8042.0,0.5893595751953126,True,CALL,2025-10-03,HOOD,3761.0,4.3,6602.0,175.5384206328104,0.5488372093023257,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,54.88372093023257,6602.0,4396932.0,0.004091422607032173,8042.0,<=5M
BE251121C00085000,85.0,15.74,15.5,16.0,3430.0,3730.0,1.2502478894042968,False,CALL,2025-11-21,BE,1117.0,12.5,2313.0,207.0725156669651,0.25920000000000004,0.049646270511987584,16454737250.0,买Call，看涨,4.964627051198758,25.920000000000005,2313.0,3640662.0000000005,0.022125312271394672,3730.0,<=5M
HOOD251003C00143000,143.0,3.5,3.4,3.5,14859.0,6660.0,0.5622602368164062,True,CALL,2025-10-03,HOOD,4930.0,1.93,9929.0,201.39959432048678,0.8134715025906736,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,81.34715025906736,9929.0,3475150.0,0.0032336882337111092,6660.0,<=5M
HOOD251003C00145000,145.0,2.59,2.51,2.6,35637.0,4220.0,0.5629926513671876,False,CALL,2025-10-03,HOOD,24554.0,1.38,11083.0,45.13724851348049,0.8768115942028986,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,87.68115942028986,11083.0,2870496.9999999995,0.0026710479760019097,4220.0,<=5M
BE251003C00080000,80.0,6.66,6.5,6.7,7227.0,686.0,1.1347699511718752,True,CALL,2025-10-03,BE,2989.0,4.3,4238.0,141.7865506858481,0.5488372093023257,0.049646270511987584,16454737250.0,买Call，看涨,4.964627051198758,54.88372093023257,4238.0,2822508.0,0.017153163597309947,686.0,<=5M
BE251010C00081500,81.5,8.1,8.0,8.2,3305.0,25.0,1.1232953991699215,True,CALL,2025-10-10,BE,5.0,2.22,3300.0,66000.0,2.648648648648648,0.049646270511987584,16454737250.0,买Call，看涨,4.964627051198758,264.8648648648648,3300.0,2673000.0,0.016244562033343922,25.0,<=5M
MU251121C00180000,180.0,7.8,7.5,7.95,3333.0,3353.0,0.5063525927734375,False,CALL,2025-11-21,MU,167.0,7.1,3166.0,1895.808383233533,0.09859154929577468,0.01283299282772245,176004804634.0,买Call，看涨,1.283299282772245,9.859154929577468,3166.0,2469480.0,0.0014030753337303807,3353.0,<=5M
HOOD251003C00130000,130.0,13.63,13.45,13.7,4975.0,8836.0,0.6816438085937502,True,CALL,2025-10-03,HOOD,3414.0,10.27,1561.0,45.72349150556532,0.32716650438169437,0.021583203758917337,107467070071.0,买Call，看涨,2.1583203758917335,32.71665043816944,1561.0,2127643.0,0.0019798092556113566,8836.0,<=5M
