contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),bid,ask,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,openInterest_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct,amount_to_market_cap
GOOGL261030P00350000,350.0,20.6,买 Put，看跌,-1.5786624346051905,PUT,9952.0,10023.0,20501120.0,0.0006875752442915289,139.0,10M-50M,2026-10-30,341.6499938964844,347.1300048828125,349.7799987792969,350.0,340.135009765625,19.85,21.6,0.3850159155273437,True,GOOGL,71.0,15.25,139.0,9952.0,14016.901408450703,0.3508196721311476,-0.015786624346051905,2981654760000.0,35.081967213114766,6.875752442915289e-06
TSLA260923P00380000,380.0,2.3,买 Put，看跌,-1.3761292352972747,PUT,69789.0,75855.0,16051469.999999998,0.001129997120348802,1522.0,10M-50M,2026-09-23,379.1003112792969,384.3900146484375,379.93499755859375,386.7000122070313,378.55999755859375,2.26,2.29,0.2253495434570312,True,TSLA,6066.0,1.82,1522.0,69789.0,1150.494559841741,0.2637362637362636,-0.013761292352972746,1420487690716.0,26.373626373626358,1.1299971203488021e-05
TSLA260923P00382500,382.5,3.75,买 Put，看跌,-1.3761292352972747,PUT,40469.0,43971.0,15175875.0,0.0010683566706833317,616.0,10M-50M,2026-09-23,379.1003112792969,384.3900146484375,379.93499755859375,386.7000122070313,378.55999755859375,3.75,3.8,0.1889729541015625,True,TSLA,3502.0,3.05,616.0,40469.0,1155.596801827527,0.22950819672131154,-0.013761292352972746,1420487690716.0,22.950819672131153,1.0683566706833317e-05
TSLA260923P00385000,385.0,5.9,买 Put，看跌,-1.3761292352972747,PUT,23568.0,25984.0,13905120.000000002,0.0009788976061447668,396.0,10M-50M,2026-09-23,379.1003112792969,384.3900146484375,379.93499755859375,386.7000122070313,378.55999755859375,5.65,5.9,1.0000000000000004e-05,True,TSLA,2416.0,4.85,396.0,23568.0,975.4966887417219,0.21649484536082492,-0.013761292352972746,1420487690716.0,21.649484536082493,9.788976061447668e-06
NVDA260923P00227500,227.5,2.15,买 Put，看跌,-1.154703815451335,PUT,46981.0,47029.0,10100915.0,0.00023327656681255523,8058.0,10M-50M,2026-09-23,225.9900054931641,228.6300048828125,228.0800018310547,228.9499969482422,225.0200042724609,2.15,2.17,0.2739330419921875,True,NVDA,48.0,0.99,8058.0,46981.0,97877.08333333334,1.1717171717171717,-0.011547038154513349,4330017000000.0,117.17171717171718,2.332765668125552e-06
MU260923P01080000,1080.0,9.1,买 Put，看跌,-1.0997152970118793,PUT,9916.0,9916.0,9023560.0,0.005126882768208737,1267.0,5M-10M,2026-09-23,1077.380126953125,1089.3599853515625,1099.93994140625,1105.4998779296875,1070.5201416015625,8.85,9.45,0.3671327935791015,True,MU,0.0,6.8,1267.0,9916.0,inf,0.338235294117647,-0.010997152970118792,176004804634.0,33.8235294117647,5.1268827682087375e-05
MU260923P01090000,1090.0,16.5,买 Put，看跌,-1.0997152970118793,PUT,5374.0,5374.0,8867100.0,0.00503798746769387,741.0,5M-10M,2026-09-23,1077.380126953125,1089.3599853515625,1099.93994140625,1105.4998779296875,1070.5201416015625,16.1,16.5,0.401373173828125,True,MU,0.0,10.5,741.0,5374.0,inf,0.5714285714285714,-0.010997152970118792,176004804634.0,57.14285714285714,5.03798746769387e-05
TSLA260925C00385000,385.0,3.3,卖 Call，看跌,-1.3761292352972747,CALL,22127.0,25987.0,7301909.999999999,0.0005140424691972836,10915.0,5M-10M,2026-09-25,379.1003112792969,384.3900146484375,379.93499755859375,386.7000122070313,378.55999755859375,3.2,3.3,0.418951123046875,False,TSLA,3860.0,4.71,10915.0,22127.0,573.238341968912,-0.2993630573248408,-0.013761292352972746,1420487690716.0,-29.93630573248408,5.140424691972836e-06
TSLA260925P00380000,380.0,5.35,买 Put，看跌,-1.3761292352972747,PUT,12877.0,13880.0,6889195.0,0.0004849880111616797,1502.0,5M-10M,2026-09-25,379.1003112792969,384.3900146484375,379.93499755859375,386.7000122070313,378.55999755859375,5.4,5.5,0.3658510681152344,True,TSLA,1003.0,4.75,1502.0,12877.0,1283.8484546360917,0.12631578947368413,-0.013761292352972746,1420487690716.0,12.631578947368412,4.849880111616797e-06
MU260923P01085000,1085.0,13.0,买 Put，看跌,-1.0997152970118793,PUT,5164.0,5164.0,6713200.0,0.003814214057371913,486.0,5M-10M,2026-09-23,1077.380126953125,1089.3599853515625,1099.93994140625,1105.4998779296875,1070.5201416015625,12.25,13.0,0.3942931665039063,True,MU,0.0,8.6,486.0,5164.0,inf,0.5116279069767442,-0.010997152970118792,176004804634.0,51.162790697674424,3.814214057371913e-05
