contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,liquidity_score,symbol
AA251003C00024000,24.0,9.4,9.6,11.1,,1,2.7441437646484372,True,CALL,2025-10-03,1.0,AA
AA251003C00025000,25.0,8.44,8.65,8.8,1.0,11,1.359378203125,True,CALL,2025-10-03,12.0,AA
AA251003C00026000,26.0,6.85,7.65,8.25,1.0,8,1.720704521484375,True,CALL,2025-10-03,9.0,AA
AA251003C00027000,27.0,4.89,6.65,6.85,6.0,26,1.1328168359375002,True,CALL,2025-10-03,32.0,AA
AA251003C00027500,27.5,4.07,6.15,6.25,,12,0.8828136718749999,True,CALL,2025-10-03,12.0,AA
AA251003C00028000,28.0,5.51,5.65,5.8,1.0,60,0.9062509375,True,CALL,2025-10-03,61.0,AA
AA251003C00028500,28.5,3.08,5.15,5.35,,20,0.9023447265625,True,CALL,2025-10-03,20.0,AA
AA251003C00029000,29.0,4.58,4.65,5.05,1.0,77,1.0078174609375,True,CALL,2025-10-03,78.0,AA
AA251003C00029500,29.5,2.52,4.15,4.45,,55,0.8437515624999999,True,CALL,2025-10-03,55.0,AA
AA251003C00030000,30.0,3.53,3.7,3.8,33.0,114,0.6757844921875001,True,CALL,2025-10-03,147.0,AA
AA251003C00030500,30.5,3.05,3.15,3.65,10.0,28,0.80664255859375,True,CALL,2025-10-03,38.0,AA
AA251003C00031000,31.0,2.85,2.69,2.88,31.0,134,0.5742230078125,True,CALL,2025-10-03,165.0,AA
AA251003C00031500,31.5,2.35,2.36,2.53,35.0,302,0.6640658593750002,True,CALL,2025-10-03,337.0,AA
AA251003C00032000,32.0,1.94,1.96,2.18,88.0,529,0.6699251757812501,True,CALL,2025-10-03,617.0,AA
AA251003C00032500,32.5,1.52,1.54,1.66,72.0,649,0.5800823242187501,True,CALL,2025-10-03,721.0,AA
AA251003C00033000,33.0,1.19,1.23,1.35,635.0,2959,0.5888712988281251,True,CALL,2025-10-03,3594.0,AA
AA251003C00033500,33.5,1.0,1.0,1.28,428.0,577,0.6718782812500002,True,CALL,2025-10-03,1005.0,AA
AA251003C00034000,34.0,0.73,0.76,0.8,607.0,1062,0.5918009570312501,False,CALL,2025-10-03,1669.0,AA
AA251003C00034500,34.5,0.58,0.55,0.61,3433.0,9419,0.5888712988281251,False,CALL,2025-10-03,12852.0,AA
AA251003C00035000,35.0,0.41,0.39,0.45,650.0,9488,0.585941640625,False,CALL,2025-10-03,10138.0,AA
AA251003C00035500,35.5,0.3,0.29,0.32,108.0,133,0.5898478515625001,False,CALL,2025-10-03,241.0,AA
AA251003C00036000,36.0,0.2,0.19,0.22,65.0,248,0.5820354296875,False,CALL,2025-10-03,313.0,AA
AA251003C00036500,36.5,0.16,0.13,0.17,44.0,183,0.59570716796875,False,CALL,2025-10-03,227.0,AA
AA251003C00037000,37.0,0.09,0.09,0.11,80.0,36,0.59570716796875,False,CALL,2025-10-03,116.0,AA
AA251003C00037500,37.5,0.05,0.05,0.08,1.0,19,0.5937540625000001,False,CALL,2025-10-03,20.0,AA
AA251003C00038000,38.0,0.06,0.02,0.05,113.0,156,0.57812921875,False,CALL,2025-10-03,269.0,AA
AA251003C00039000,39.0,0.07,0.0,0.09,5.0,50,0.70312796875,False,CALL,2025-10-03,55.0,AA
AA251003C00040000,40.0,0.02,0.01,0.02,128.0,292,0.6718782812500002,False,CALL,2025-10-03,420.0,AA
AA251003C00041000,41.0,0.09,0.0,0.52,8.0,19,1.3007847460937496,False,CALL,2025-10-03,27.0,AA
AA251003P00024000,24.0,0.03,0.0,0.03,10.0,18,1.2500037499999999,False,PUT,2025-10-03,28.0,AA
AA251003P00025000,25.0,0.01,0.0,0.02,1.0,1501,1.0625046875000002,False,PUT,2025-10-03,1502.0,AA
AA251003P00026000,26.0,0.01,0.0,0.02,1.0,157,0.937500625,False,PUT,2025-10-03,158.0,AA
AA251003P00027000,27.0,0.01,0.0,0.01,4.0,546,0.7500025,False,PUT,2025-10-03,550.0,AA
AA251003P00027500,27.5,0.01,0.0,0.03,9.0,16,0.79687703125,False,PUT,2025-10-03,25.0,AA
AA251003P00028000,28.0,0.06,0.0,0.04,10.0,68,0.7656273437500001,False,PUT,2025-10-03,78.0,AA
AA251003P00028500,28.5,0.1,0.01,0.04,10.0,280,0.726565234375,False,PUT,2025-10-03,290.0,AA
AA251003P00029000,29.0,0.02,0.01,0.06,82.0,748,0.70312796875,False,PUT,2025-10-03,830.0,AA
AA251003P00029500,29.5,0.04,0.02,0.04,29.0,293,0.6171913281250001,False,PUT,2025-10-03,322.0,AA
AA251003P00030000,30.0,0.04,0.04,0.12,87.0,473,0.6757844921875001,False,PUT,2025-10-03,560.0,AA
AA251003P00030500,30.5,0.07,0.06,0.08,166.0,217,0.57812921875,False,PUT,2025-10-03,383.0,AA
AA251003P00031000,31.0,0.13,0.1,0.11,165.0,2766,0.56055126953125,False,PUT,2025-10-03,2931.0,AA
AA251003P00031500,31.5,0.21,0.16,0.2,114.0,1509,0.56836369140625,False,PUT,2025-10-03,1623.0,AA
AA251003P00032000,32.0,0.28,0.25,0.29,757.0,1159,0.56055126953125,False,PUT,2025-10-03,1916.0,AA
AA251003P00032500,32.5,0.4,0.38,0.43,385.0,603,0.561527822265625,False,PUT,2025-10-03,988.0,AA
AA251003P00033000,33.0,0.66,0.56,0.67,259.0,237,0.585941640625,False,PUT,2025-10-03,496.0,AA
AA251003P00033500,33.5,0.85,0.8,0.85,42.0,22,0.579105771484375,False,PUT,2025-10-03,64.0,AA
AA251003P00034000,34.0,1.22,1.04,1.27,97.0,48,0.6210975390625001,True,PUT,2025-10-03,145.0,AA
AA251003P00035000,35.0,1.9,1.69,1.8,26.0,1791,0.5820354296875,True,PUT,2025-10-03,1817.0,AA
AA251003P00036000,36.0,2.69,2.48,2.84,2.0,2,0.6972686523437501,True,PUT,2025-10-03,4.0,AA
AA251003P00037000,37.0,4.75,3.35,4.25,,1,0.98242205078125,True,PUT,2025-10-03,1.0,AA
AA251003P00038000,38.0,5.65,4.3,5.75,2.0,3,1.3300814746093748,True,PUT,2025-10-03,5.0,AA
AA251003P00039000,39.0,5.5,5.25,5.45,1.0,0,0.6171913281250001,True,PUT,2025-10-03,1.0,AA
AA251003P00040000,40.0,7.95,6.25,6.4,5.0,0,0.8710950390625,True,PUT,2025-10-03,5.0,AA
