contractSymbol,strike,lastPrice_new,bid,ask,volume,openInterest_new,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,openInterest_old,lastPrice_old,oi_change,option_price_change,stock_price_change,market_cap,signal_type,stock_price_change_pct,option_price_change_pct,oi_change_abs,amount_threshold,amount_to_market_cap,amount_tier
TSLA271217P00450000,450.0,133.1,132.8,133.25,1.0,2023.0,0.4888738246917725,True,PUT,2027-12-17,TSLA,434.0,130.98,1589.0,0.01618567720262639,-0.01841114555048675,1420487690716.0,多头买 Put，看跌,-1.841114555048675,1.618567720262639,1589.0,21149590.0,1.4888963936983855e-05,10M-50M
TSLA251121C00500000,500.0,19.9,19.9,20.05,5042.0,68450.0,0.6387365228271484,False,CALL,2025-11-21,TSLA,58899.0,23.3,9551.0,-0.14592274678111597,-0.01841114555048675,1420487690716.0,空头卖 Call，看跌/看不涨,-1.841114555048675,-14.592274678111597,9551.0,19006490.0,1.3380256741555949e-05,10M-50M
CRWV251219C00105000,105.0,41.5,41.45,43.05,168.0,4943.0,0.9923096472167968,True,CALL,2025-12-19,CRWV,422.0,30.35,4521.0,0.36738056013179565,0.12246978178698084,58794801172.0,多头买 Call，看涨,12.246978178698084,36.738056013179566,4521.0,18762150.0,0.0003191123981372548,10M-50M
ORCL251219C00280000,280.0,28.1,28.3,28.65,20677.0,32021.0,0.5630536859130859,False,CALL,2025-12-19,ORCL,38437.0,30.2,-6416.0,-0.06953642384105953,-0.01662191273414869,805512250440.0,多头平仓 Call，减仓，看涨减弱,-1.662191273414869,-6.953642384105953,-6416.0,18028960.0,2.2381981143243854e-05,10M-50M
HOOD251003C00126000,126.0,13.63,13.1,13.4,7987.0,18064.0,0.68555001953125,True,CALL,2025-10-03,HOOD,26502.0,11.6,-8438.0,0.1750000000000001,0.01568903052449743,107467070071.0,空头平仓 Call，回补信号，看涨,1.5689030524497432,17.50000000000001,-8438.0,11500994.0,0.00010701877321491753,10M-50M
TSLA251003C00415000,415.0,23.75,23.85,24.0,263.0,6227.0,0.6276892700195313,True,CALL,2025-10-03,TSLA,1991.0,31.6,4236.0,-0.2484177215189874,-0.01841114555048675,1420487690716.0,空头卖 Call，看跌/看不涨,-1.841114555048675,-24.841772151898738,4236.0,10060500.0,7.08242673678431e-06,10M-50M
CRWV251121C00130000,130.0,23.8,23.4,24.0,2438.0,7145.0,0.9750368707275392,True,CALL,2025-11-21,CRWV,3129.0,15.5,4016.0,0.535483870967742,0.12246978178698084,58794801172.0,多头买 Call，看涨,12.246978178698084,53.5483870967742,4016.0,9558080.0,0.00016256675436385128,5M-10M
CRWV251003C00110000,110.0,32.5,28.55,29.65,2675.0,3497.0,1.894043498535156,True,CALL,2025-10-03,CRWV,1061.0,14.0,2436.0,1.3214285714285714,0.12246978178698084,58794801172.0,多头买 Call，看涨,12.246978178698084,132.14285714285714,2436.0,7917000.0,0.00013465476270324277,5M-10M
TSLA251003C00420000,420.0,20.25,20.25,20.4,1068.0,7636.0,0.6287878918457033,True,CALL,2025-10-03,TSLA,3763.0,27.42,3873.0,-0.26148796498905913,-0.01841114555048675,1420487690716.0,空头卖 Call，看跌/看不涨,-1.841114555048675,-26.148796498905913,3873.0,7842825.0,5.521219966395349e-06,5M-10M
NVDA251024P00180000,180.0,4.23,4.25,4.3,6630.0,21709.0,0.3725648681640625,False,PUT,2025-10-24,NVDA,3410.0,5.45,18299.0,-0.22385321100917427,0.02631283058960429,4330017000000.0,空头卖 Put，看涨/看不跌,2.6312830589604292,-22.385321100917427,18299.0,7740477.0,1.787632011606421e-06,5M-10M
