contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol
NVDA260814C00160000,160.0,63.47,0.0,0.0,35.0,94.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00162500,162.5,61.03,0.0,0.0,234.0,67.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00165000,165.0,55.08,0.0,0.0,2.0,63.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00167500,167.5,56.4,0.0,0.0,538.0,189.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00170000,170.0,53.26,0.0,0.0,13.0,241.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00172500,172.5,51.1,0.0,0.0,42.0,97.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00175000,175.0,49.75,0.0,0.0,25.0,197.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00177500,177.5,46.05,0.0,0.0,225.0,89.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00180000,180.0,42.64,0.0,0.0,3723.0,1011.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00182500,182.5,41.51,0.0,0.0,107.0,506.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00185000,185.0,38.15,0.0,0.0,253.0,719.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00187500,187.5,35.37,0.0,0.0,845.0,420.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00190000,190.0,34.03,0.0,0.0,1337.0,2569.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00192500,192.5,30.1,0.0,0.0,1878.0,831.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00195000,195.0,28.41,0.0,0.0,4421.0,2136.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00197500,197.5,26.07,0.0,0.0,2451.0,1085.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00200000,200.0,24.25,0.0,0.0,1491.0,5566.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00202500,202.5,21.98,0.0,0.0,14751.0,6486.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00205000,205.0,19.27,0.0,0.0,3748.0,3793.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00207500,207.5,16.8,0.0,0.0,5293.0,12589.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00210000,210.0,14.35,0.0,0.0,5424.0,19275.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00212500,212.5,11.3,0.0,0.0,6231.0,7441.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00215000,215.0,9.58,0.0,0.0,7790.0,17283.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00217500,217.5,7.28,0.0,0.0,9337.0,6894.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00220000,220.0,5.09,0.0,0.0,34145.0,15785.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
NVDA260814C00222500,222.5,3.4,0.0,0.0,56678.0,22546.0,1.0000000000000003e-05,True,CALL,2026-08-14,NVDA
