contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
COIN251003C00327500,327.5,16750.0,多头买 Call，看涨,1.0479355975740174,CALL,17217.0,467.0,22193750.0,0.0,10M-50M,2025-10-03,13.25,13.2,13.65,5043.0,0.5314988256835937,True,COIN,11.8,0.12288135593220333,0.010479355975740174,0.0,12.288135593220332,16750.0
CRWV251219C00105000,105.0,4521.0,多头买 Call，看涨,11.69605766656718,CALL,4943.0,422.0,18219630.0,0.00030988505168509325,10M-50M,2025-12-19,40.3,39.5,41.45,2976.0,0.9270026831054688,True,CRWV,30.35,0.3278418451400328,0.11696057666567179,58794801172.0,32.78418451400328,4521.0
SNDK251010C00080000,80.0,5188.0,空头卖 Call，看跌/看不涨,-1.1453771381125977,CALL,5190.0,2.0,17276040.0,0.0,10M-50M,2025-10-10,33.3,31.9,32.9,5083.0,1.038090747070313,True,SNDK,34.3,-0.02915451895043732,-0.011453771381125976,0.0,-2.915451895043732,5188.0
HOOD251003C00126000,126.0,-8438.0,空头平仓 Call，回补信号，看涨,4.724979079432532,CALL,18064.0,26502.0,15019640.0,0.00013976039348683288,10M-50M,2025-10-03,17.8,16.25,17.75,8097.0,0.9262702685546876,True,HOOD,11.6,0.5344827586206897,0.04724979079432532,107467070071.0,53.448275862068975,-8438.0
COIN251003C00312500,312.5,-4556.0,空头平仓 Call，回补信号，看涨,1.0479355975740174,CALL,2706.0,7262.0,11503900.0,0.0,10M-50M,2025-10-03,25.25,25.55,27.1,40.0,0.6369665209960937,True,COIN,21.81,0.1577258138468593,0.010479355975740174,0.0,15.77258138468593,-4556.0
COIN251003C00315000,315.0,-4637.0,空头平仓 Call，回补信号，看涨,1.0479355975740174,CALL,6599.0,11236.0,10896950.0,0.0,10M-50M,2025-10-03,23.5,23.5,24.55,152.0,0.6164589135742189,True,COIN,21.23,0.10692416391898255,0.010479355975740174,0.0,10.692416391898254,-4637.0
HOOD251003C00136000,136.0,12732.0,多头买 Call，看涨,4.724979079432532,CALL,12920.0,188.0,10631220.0,9.892537307452691e-05,10M-50M,2025-10-03,8.35,8.0,8.3,12216.0,0.5883830224609375,True,HOOD,4.25,0.9647058823529411,0.04724979079432532,107467070071.0,96.4705882352941,12732.0
FCX251031C00040000,40.0,56966.0,多头买 Call，看涨,5.65733391499247,CALL,58037.0,1071.0,10595676.0,0.00020642699881070456,10M-50M,2025-10-31,1.86,1.75,1.89,11719.0,0.4829153271484375,False,FCX,1.07,0.7383177570093458,0.0565733391499247,51328925291.0,73.83177570093457,56966.0
CRWV251121C00130000,130.0,4016.0,多头买 Call，看涨,11.69605766656718,CALL,7145.0,3129.0,9015920.0,0.0001533455309020362,5M-10M,2025-11-21,22.45,22.4,22.85,2835.0,0.9421392504882812,True,CRWV,15.5,0.4483870967741935,0.11696057666567179,58794801172.0,44.83870967741935,4016.0
HOOD251003C00135000,135.0,9367.0,多头买 Call，看涨,4.724979079432532,CALL,21083.0,11716.0,8505236.0,7.914271780537858e-05,5M-10M,2025-10-03,9.08,8.95,9.15,14490.0,0.6132851171875001,True,HOOD,4.82,0.883817427385892,0.04724979079432532,107467070071.0,88.3817427385892,9367.0
MSTR251003C00312500,312.5,-6432.0,多头平仓 Call，减仓，看涨减弱,-1.2897560809604893,CALL,13907.0,20339.0,8490240.0,0.0,5M-10M,2025-10-03,13.2,12.7,13.15,655.0,0.530400203857422,True,MSTR,16.59,-0.20433996383363476,-0.012897560809604894,0.0,-20.433996383363475,-6432.0
HOOD251003C00127000,127.0,-5089.0,空头平仓 Call，回补信号，看涨,4.724979079432532,CALL,4386.0,9475.0,8371405.0,7.789739679763563e-05,5M-10M,2025-10-03,16.45,16.3,16.6,1504.0,0.737307314453125,True,HOOD,10.64,0.5460526315789472,0.04724979079432532,107467070071.0,54.605263157894726,-5089.0
NVDA251017C00175000,175.0,-5688.0,空头平仓 Call，回补信号，看涨,2.6010423804146625,CALL,35745.0,41433.0,8008703.999999999,1.8495779577770708e-06,5M-10M,2025-10-17,14.08,14.0,14.1,6058.0,0.4246883703613281,True,NVDA,10.15,0.38719211822660093,0.026010423804146626,4330017000000.0,38.71921182266009,-5688.0
HOOD270115C00175000,175.0,2569.0,多头买 Call，看涨,4.724979079432532,CALL,4136.0,1567.0,8002434.999999999,7.446406601308708e-05,5M-10M,2027-01-15,31.15,31.8,32.7,30.0,0.6599765447998047,False,HOOD,27.85,0.11849192100538589,0.04724979079432532,107467070071.0,11.84919210053859,2569.0
HOOD251003C00125000,125.0,-4307.0,空头平仓 Call，回补信号，看涨,4.724979079432532,CALL,4051.0,8358.0,7955028.999999999,7.402294484016703e-05,5M-10M,2025-10-03,18.47,18.05,18.55,652.0,0.6972686523437501,True,HOOD,12.3,0.5016260162601625,0.04724979079432532,107467070071.0,50.16260162601625,-4307.0
NVDA251017C00180000,180.0,-7584.0,空头平仓 Call，回补信号，看涨,2.6010423804146625,CALL,73761.0,81345.0,7735679.999999999,1.7865241637619435e-06,5M-10M,2025-10-17,10.2,10.2,10.3,20838.0,0.3995421374511719,True,NVDA,6.9,0.47826086956521724,0.026010423804146626,4330017000000.0,47.82608695652172,-7584.0
NVDA251024P00180000,180.0,18299.0,空头卖 Put，看涨/看不跌,2.6010423804146625,PUT,21709.0,3410.0,7594085.000000001,1.7538233683609096e-06,5M-10M,2025-10-24,4.15,4.1,4.2,7858.0,0.366217275390625,False,NVDA,5.45,-0.23853211009174308,0.026010423804146626,4330017000000.0,-23.85321100917431,18299.0
MSTR251121C00330000,330.0,-2835.0,多头平仓 Call，减仓，看涨减弱,-1.2897560809604893,CALL,59607.0,62442.0,7569450.0,0.0,5M-10M,2025-11-21,26.7,26.5,26.8,713.0,0.6143227044677735,False,MSTR,29.2,-0.08561643835616438,-0.012897560809604894,0.0,-8.561643835616438,-2835.0
COIN251121P00400000,400.0,995.0,空头卖 Put，看涨/看不跌,1.0479355975740174,PUT,7321.0,6326.0,7490360.000000001,0.0,5M-10M,2025-11-21,75.28,74.3,76.2,7.0,0.6383092810058593,True,COIN,80.93,-0.06981341900407766,0.010479355975740174,0.0,-6.981341900407766,995.0
CRWV251121P00130000,130.0,4860.0,空头卖 Put，看涨/看不跌,11.69605766656718,PUT,7796.0,2936.0,7372620.0,0.00012539578080095765,5M-10M,2025-11-21,15.17,14.8,15.25,1889.0,0.9042367974853516,False,CRWV,21.85,-0.30572082379862703,0.11696057666567179,58794801172.0,-30.572082379862703,4860.0
MU260320P00150000,150.0,5004.0,空头卖 Put，看涨/看不跌,2.086646464364349,PUT,5841.0,837.0,6790428.0,3.858092404988954e-05,5M-10M,2026-03-20,13.57,13.1,13.3,19.0,0.481999808959961,False,MU,13.72,-0.01093294460641402,0.02086646464364349,176004804634.0,-1.093294460641402,5004.0
COIN251003C00325000,325.0,-4415.0,空头平仓 Call，回补信号，看涨,1.0479355975740174,CALL,3242.0,7657.0,6622500.0,0.0,5M-10M,2025-10-03,15.0,15.1,15.4,840.0,0.5339402075195312,True,COIN,14.0,0.07142857142857142,0.010479355975740174,0.0,7.142857142857142,-4415.0
CRWV251003C00110000,110.0,2436.0,多头买 Call，看涨,11.69605766656718,CALL,3497.0,1061.0,6601560.000000001,0.00011228135597716553,5M-10M,2025-10-03,27.1,26.5,27.8,2694.0,1.236331943359375,True,CRWV,14.0,0.9357142857142858,0.11696057666567179,58794801172.0,93.57142857142858,2436.0
HOOD251003C00137000,137.0,8271.0,多头买 Call，看涨,4.724979079432532,CALL,8738.0,467.0,6120540.0,5.695270184584318e-05,5M-10M,2025-10-03,7.4,7.3,7.5,3965.0,0.5932657861328126,True,HOOD,3.75,0.9733333333333334,0.04724979079432532,107467070071.0,97.33333333333334,8271.0
HOOD251017C00125000,125.0,-2882.0,空头平仓 Call，回补信号，看涨,4.724979079432532,CALL,8568.0,11450.0,5850460.0,5.443955991481662e-05,5M-10M,2025-10-17,20.3,20.1,20.4,582.0,0.6853058813476562,True,HOOD,14.85,0.3670033670033671,0.04724979079432532,107467070071.0,36.70033670033671,-2882.0
CRWV251003C00115000,115.0,2477.0,多头买 Call，看涨,11.69605766656718,CALL,3054.0,577.0,5833335.0,9.921514970235199e-05,5M-10M,2025-10-03,23.55,21.5,23.0,2665.0,1.091801416015625,True,CRWV,9.75,1.4153846153846155,0.11696057666567179,58794801172.0,141.53846153846155,2477.0
HOOD251003C00134000,134.0,-5817.0,空头平仓 Call，回补信号，看涨,4.724979079432532,CALL,3787.0,9604.0,5799549.000000001,5.3965824100056204e-05,5M-10M,2025-10-03,9.97,9.7,10.0,769.0,0.6054726953125001,True,HOOD,5.3,0.8811320754716983,0.04724979079432532,107467070071.0,88.11320754716982,-5817.0
LYFT251219C00024000,24.0,28274.0,空头卖 Call，看跌/看不涨,-4.012211356518307,CALL,28882.0,608.0,5796170.0,0.000652070089868112,5M-10M,2025-12-19,2.05,1.93,1.99,571.0,0.6611362011718751,False,LYFT,2.41,-0.14937759336099599,-0.040122113565183075,8888875736.0,-14.9377593360996,28274.0
NVDA251031C00180000,180.0,4485.0,多头买 Call，看涨,2.6010423804146625,CALL,12074.0,7589.0,5651100.0,1.3050988021525088e-06,5M-10M,2025-10-31,12.6,12.45,12.55,7353.0,0.4101621484375,True,NVDA,9.1,0.38461538461538464,0.026010423804146626,4330017000000.0,38.46153846153847,4485.0
HOOD251003C00141000,141.0,12149.0,多头买 Call，看涨,4.724979079432532,CALL,12333.0,184.0,5588539.999999999,5.200234821985779e-05,5M-10M,2025-10-03,4.6,4.5,4.65,24270.0,0.5686078295898438,True,HOOD,2.21,1.081447963800905,0.04724979079432532,107467070071.0,108.1447963800905,12149.0
CRWV251219C00130000,130.0,2125.0,多头买 Call，看涨,11.69605766656718,CALL,4409.0,2284.0,5418750.0,9.216376094457456e-05,5M-10M,2025-12-19,25.5,25.35,26.1,853.0,0.8892222991943357,True,CRWV,18.5,0.3783783783783784,0.11696057666567179,58794801172.0,37.83783783783784,2125.0
FCX270115C00040000,40.0,7206.0,多头买 Call，看涨,5.65733391499247,CALL,11343.0,4137.0,5339646.0,0.00010402801090667395,5M-10M,2027-01-15,7.41,7.35,7.55,957.0,0.4456842541503906,False,FCX,6.4,0.15781249999999997,0.0565733391499247,51328925291.0,15.781249999999996,7206.0
HOOD251003C00138000,138.0,7830.0,多头买 Call，看涨,4.724979079432532,CALL,8042.0,212.0,5214780.0,4.85244456423234e-05,5M-10M,2025-10-03,6.66,6.55,6.75,10363.0,0.5893595751953126,True,HOOD,3.14,1.1210191082802548,0.04724979079432532,107467070071.0,112.10191082802548,7830.0
NVDA251003C00185000,185.0,14697.0,多头买 Call，看涨,2.6010423804146625,CALL,80875.0,66178.0,5202738.0,1.201551402685024e-06,5M-10M,2025-10-03,3.54,3.5,3.6,350386.0,0.3527896752929687,True,NVDA,1.35,1.622222222222222,0.026010423804146626,4330017000000.0,162.2222222222222,14697.0
HOOD251003C00140000,140.0,9902.0,多头买 Call，看涨,4.724979079432532,CALL,17771.0,7869.0,5198550.0,4.8373422636026896e-05,5M-10M,2025-10-03,5.25,5.15,5.3,34114.0,0.5751995605468749,True,HOOD,2.54,1.0669291338582676,0.04724979079432532,107467070071.0,106.69291338582676,9902.0
MSTR251121P00320000,320.0,-1903.0,空头平仓 Put，回补，看跌信号减弱,-1.2897560809604893,PUT,1681.0,3584.0,5140003.000000001,0.0,5M-10M,2025-11-21,27.01,26.95,27.3,124.0,0.5792583578491212,False,MSTR,26.22,0.030129672006102316,-0.012897560809604894,0.0,3.0129672006102317,-1903.0
COIN251003C00330000,330.0,-4369.0,空头平仓 Call，回补信号，看涨,1.0479355975740174,CALL,7794.0,12163.0,5111730.0,0.0,5M-10M,2025-10-03,11.7,11.55,11.9,2911.0,0.5297898583984376,True,COIN,10.52,0.11216730038022811,0.010479355975740174,0.0,11.216730038022812,-4369.0
