contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs,股票价格(new),股票价格(old)
TSLA251121C00455000,455.0,-17248.0,空头平仓 Call，回补信号，看涨,1.2424362558237907,CALL,35791.0,53039.0,75115039.99999999,5.2879754249850686e-05,>50M,2025-11-21,43.55,43.2,43.4,821.0,0.6327551373291016,True,TSLA,39.35,0.10673443456162632,0.012424362558237907,1420487690716.0,10.673443456162632,-17248.0,455.9200134277344,450.3250122070313
COIN251003C00327500,327.5,-8395.0,空头平仓 Call，回补信号，看涨,3.455474183630706,CALL,5168.0,13563.0,30809650.0,0.00038360395805778837,10M-50M,2025-10-03,36.7,36.1,37.3,98.0,1.50390873046875,True,COIN,17.89,1.0514253773057576,0.03455474183630706,80316298497.0,105.14253773057575,-8395.0,360.260009765625,348.22711181640625
NVDA251121C00180000,180.0,14723.0,多头买 Call，看涨,2.574631618651891,CALL,88983.0,74260.0,27193381.0,6.280201902209622e-06,10M-50M,2025-11-21,18.47,18.5,18.6,1427.0,0.476567734375,True,NVDA,15.0,0.23133333333333325,0.02574631618651891,4330017000000.0,23.133333333333326,14723.0,189.83999633789065,185.0749969482422
COIN251003C00335000,335.0,-7015.0,空头平仓 Call，回补信号，看涨,3.455474183630706,CALL,15618.0,22633.0,20455740.0,0.000254689775086735,10M-50M,2025-10-03,29.16,28.15,30.05,7768.0,1.261478302001953,True,COIN,12.3,1.370731707317073,0.03455474183630706,80316298497.0,137.0731707317073,-7015.0,360.260009765625,348.22711181640625
NVDA280121C00195000,195.0,3348.0,多头买 Call，看涨,2.574631618651891,CALL,3805.0,457.0,17238852.0,3.981243491653728e-06,10M-50M,2028-01-21,51.49,52.4,52.75,48.0,0.4848684326171875,False,NVDA,49.95,0.03083083083083081,0.02574631618651891,4330017000000.0,3.083083083083081,3348.0,189.83999633789065,185.0749969482422
COIN251003C00345000,345.0,8128.0,多头买 Call，看涨,3.455474183630706,CALL,10136.0,2008.0,16190976.0,0.0002015901666659199,10M-50M,2025-10-03,19.92,18.75,20.5,425.0,1.0051319274902344,True,COIN,5.7,2.4947368421052634,0.03455474183630706,80316298497.0,249.47368421052633,8128.0,360.260009765625,348.22711181640625
CRWD270115C00470000,470.0,1351.0,多头买 Call，看涨,1.049431242246566,CALL,1648.0,297.0,16043125.0,0.00013279103122749495,10M-50M,2027-01-15,118.75,116.15,118.55,2.0,0.4773993300628661,True,CRWD,109.68,0.08269511305616331,0.01049431242246566,120814823499.0,8.269511305616332,1351.0,498.7799987792969,493.6000061035156
NVDA270115C00190000,190.0,3963.0,多头买 Call，看涨,2.574631618651891,CALL,17166.0,13203.0,15990705.000000002,3.692988965170345e-06,10M-50M,2027-01-15,40.35,40.35,40.6,67.0,0.4784903225708008,False,NVDA,36.5,0.10547945205479456,0.02574631618651891,4330017000000.0,10.547945205479456,3963.0,189.83999633789065,185.0749969482422
NVDA270115P00190000,190.0,4753.0,空头卖 Put，看涨/看不跌,2.574631618651891,PUT,6841.0,2088.0,15009974.0,3.46649308767148e-06,10M-50M,2027-01-15,31.58,31.3,31.45,3.0,0.367193828125,True,NVDA,32.2,-0.01925465838509331,0.02574631618651891,4330017000000.0,-1.9254658385093308,4753.0,189.83999633789065,185.0749969482422
MSFT260618C00500000,500.0,-2358.0,空头平仓 Call，回补信号，看涨,1.0914494798756196,CALL,6481.0,8839.0,14445107.999999998,3.799577130988142e-06,10M-50M,2026-06-18,61.26,59.25,59.7,1.0,0.2908396112060546,True,MSFT,58.75,0.04272340425531911,0.010914494798756197,3801767276203.0,4.272340425531911,-2358.0,518.7899780273438,513.1887817382812
TSLA251121C00500000,500.0,-5298.0,空头平仓 Call，回补信号，看涨,1.2424362558237907,CALL,65004.0,70302.0,14055594.0,9.89490728562051e-06,10M-50M,2025-11-21,26.53,26.45,26.6,12223.0,0.6363256582641602,False,TSLA,24.3,0.0917695473251029,0.012424362558237907,1420487690716.0,9.17695473251029,-5298.0,455.9200134277344,450.3250122070313
NFLX251121C01200000,1200.0,2996.0,空头卖 Call，看跌/看不涨,-3.2174196083205366,CALL,3474.0,478.0,13446048.000000002,2.613826408657714e-05,10M-50M,2025-11-21,44.88,44.8,45.7,123.0,0.4132596516418457,False,NFLX,56.3,-0.20284191829484893,-0.03217419608320537,514420083731.0,-20.284191829484893,2996.0,1139.3399658203125,1177.2159423828125
NVDA251003C00182500,182.5,-16055.0,空头平仓 Call，回补信号，看涨,2.574631618651891,CALL,53192.0,69247.0,12683450.0,2.9291917329654824e-06,10M-50M,2025-10-03,7.9,7.85,7.95,12996.0,0.532231240234375,True,NVDA,3.84,1.0572916666666667,0.02574631618651891,4330017000000.0,105.72916666666667,-16055.0,189.83999633789065,185.0749969482422
COIN251003C00350000,350.0,7610.0,多头买 Call，看涨,3.455474183630706,CALL,21223.0,13613.0,12008579.999999998,0.00014951610351476228,10M-50M,2025-10-03,15.78,14.5,15.0,2442.0,0.8459488061523437,True,COIN,4.0,2.945,0.03455474183630706,80316298497.0,294.5,7610.0,360.260009765625,348.22711181640625
TSLA271217P00420000,420.0,1093.0,空头卖 Put，看涨/看不跌,1.2424362558237907,PUT,2049.0,956.0,11842654.999999998,8.337034581433566e-06,10M-50M,2027-12-17,108.35,107.65,108.5,99.0,0.4949543913269043,False,TSLA,113.03,-0.041404936742457814,0.012424362558237907,1420487690716.0,-4.140493674245781,1093.0,455.9200134277344,450.3250122070313
TSLA251003C00420000,420.0,-3041.0,空头平仓 Call，回补信号，看涨,1.2424362558237907,CALL,4374.0,7415.0,11677440.0,8.220725935410226e-06,10M-50M,2025-10-03,38.4,39.15,39.55,296.0,1.1674846313476563,True,TSLA,29.03,0.3227695487426799,0.012424362558237907,1420487690716.0,32.276954874267986,-3041.0,455.9200134277344,450.3250122070313
SMCI251003C00046000,46.0,-19972.0,空头平仓 Call，回补信号，看涨,5.050914602700048,CALL,15580.0,35552.0,11583760.0,0.0004254105361538354,10M-50M,2025-10-03,5.8,5.3,5.55,249.0,1.0000000000000004e-05,True,SMCI,2.93,0.9795221843003411,0.050509146027000476,27229602973.0,97.95221843003411,-19972.0,51.79010009765625,49.29999923706055
COIN251003C00355000,355.0,9556.0,多头买 Call，看涨,3.455474183630706,CALL,23018.0,13462.0,11228300.0,0.00013980101436596214,10M-50M,2025-10-03,11.75,11.75,12.25,7394.0,0.8798840136718749,True,COIN,3.0,2.9166666666666665,0.03455474183630706,80316298497.0,291.66666666666663,9556.0,360.260009765625,348.22711181640625
TSLA260320C00450000,450.0,-1385.0,空头平仓 Call，回补信号，看涨,1.2424362558237907,CALL,4472.0,5857.0,10798845.0,7.602209488036336e-06,10M-50M,2026-03-20,77.97,78.95,79.75,226.0,0.6235999554443359,True,TSLA,73.0,0.06808219178082191,0.012424362558237907,1420487690716.0,6.808219178082191,-1385.0,455.9200134277344,450.3250122070313
MSFT261218P00500000,500.0,2731.0,空头卖 Put，看涨/看不跌,1.0914494798756196,PUT,4627.0,1896.0,10724637.000000002,2.820960942856868e-06,10M-50M,2026-12-18,39.27,38.95,39.55,3003.0,0.2166978965759277,False,MSFT,39.83,-0.014059753954305679,0.010914494798756197,3801767276203.0,-1.4059753954305678,2731.0,518.7899780273438,513.1887817382812
