contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
MSFT251121C00485000,485.0,-34790.0,多头平仓 Call，减仓，看涨减弱,-1.522959600009379,CALL,747.0,35537.0,125244000.0,3.2943626187736286e-05,>50M,2025-11-21,517.8099975585938,525.8179931640625,528.8049926757812,529.3200073242188,515.0999755859375,36.0,36.2,37.0,17.0,0.3120796331787109,True,MSFT,40.54,-0.11198815984213122,-0.01522959600009379,3801767276203.0,-11.198815984213121,-34790.0
MSFT260116C00500000,500.0,30322.0,空头卖 Call，看跌/看不涨,-1.522959600009379,CALL,40532.0,10210.0,109947572.0,2.8920121620334874e-05,>50M,2026-01-16,517.8099975585938,525.8179931640625,528.8049926757812,529.3200073242188,515.0999755859375,36.26,35.9,36.45,697.0,0.2836070175170897,True,MSFT,39.15,-0.07381864623243935,-0.01522959600009379,3801767276203.0,-7.381864623243935,30322.0
AMZN260116C00195000,195.0,3248.0,多头买 Call，看涨,9.584492754129242,CALL,10734.0,7486.0,17652880.0,7.5313029859164595e-06,10M-50M,2026-01-16,244.22000122070312,222.8600006103516,250.1999969482422,250.5,243.97999572753903,54.35,55.05,55.3,359.0,0.5593916131591796,True,AMZN,35.1,0.5484330484330484,0.09584492754129242,2343934380679.0,54.84330484330484,3248.0
HOOD251107C00130000,130.0,8023.0,多头买 Call，看涨,6.308387769275009,CALL,9035.0,1012.0,15684965.0,0.0001459513597015109,10M-50M,2025-11-07,146.77999877929688,138.07000732421875,143.60000610351562,150.46249389648438,143.3000030517578,19.55,19.25,19.55,216.0,1.0424852563476563,True,HOOD,12.4,0.5766129032258065,0.06308387769275009,107467070071.0,57.66129032258065,8023.0
MSFT260116C00545000,545.0,10644.0,空头卖 Call，看跌/看不涨,-1.522959600009379,CALL,12351.0,1707.0,14475840.0,3.807660739943474e-06,10M-50M,2026-01-16,517.8099975585938,525.8179931640625,528.8049926757812,529.3200073242188,515.0999755859375,13.6,13.5,13.7,2497.0,0.2550123327636719,False,MSFT,15.38,-0.11573472041612491,-0.01522959600009379,3801767276203.0,-11.573472041612492,10644.0
AMZN251031C00230000,230.0,8458.0,多头买 Call，看涨,9.584492754129242,CALL,37189.0,28731.0,14268646.000000002,6.0874767304136755e-06,10M-50M,2025-10-31,244.22000122070312,222.8600006103516,250.1999969482422,250.5,243.97999572753903,16.87,16.85,17.0,34495.0,1.5864278491210937,True,AMZN,5.55,2.0396396396396397,0.09584492754129242,2343934380679.0,203.96396396396398,8458.0
MSFT260918C00580000,580.0,4350.0,空头卖 Call，看跌/看不涨,-1.522959600009379,CALL,4814.0,464.0,14159250.0,3.724386310711132e-06,10M-50M,2026-09-18,517.8099975585938,525.8179931640625,528.8049926757812,529.3200073242188,515.0999755859375,32.55,33.0,33.4,26.0,0.2894052993774413,False,MSFT,35.0,-0.07000000000000008,-0.01522959600009379,3801767276203.0,-7.000000000000008,4350.0
TSLA251114C00500000,500.0,-18705.0,空头平仓 Call，回补信号，看涨,3.740057084027075,CALL,16034.0,34739.0,11784150.0,8.295848022491609e-06,10M-50M,2025-11-14,456.55999755859375,440.1000061035156,446.7300109863281,457.7278137207031,443.68548583984375,6.3,6.25,6.3,11339.0,0.5516402258300781,False,TSLA,4.25,0.48235294117647054,0.03740057084027075,1420487690716.0,48.23529411764705,-18705.0
AMZN260515C00210000,210.0,-2112.0,空头平仓 Call，回补信号，看涨,9.584492754129242,CALL,3368.0,5480.0,10591680.0,4.518761313160892e-06,10M-50M,2026-05-15,244.22000122070312,222.8600006103516,250.1999969482422,250.5,243.97999572753903,50.15,50.45,50.65,664.0,0.4617363397216797,True,AMZN,34.6,0.44942196531791895,0.09584492754129242,2343934380679.0,44.94219653179189,-2112.0
AMZN251031C00225000,225.0,4379.0,多头买 Call，看涨,9.584492754129242,CALL,15388.0,11009.0,9546220.0,4.0727334684320874e-06,5M-10M,2025-10-31,244.22000122070312,222.8600006103516,250.1999969482422,250.5,243.97999572753903,21.8,21.8,21.95,14732.0,1.8920903833007812,True,AMZN,7.6,1.8684210526315792,0.09584492754129242,2343934380679.0,186.84210526315792,4379.0
PLTR251031C00177500,177.5,-3972.0,空头平仓 Call，回补信号，看涨,3.0429185690479605,CALL,4368.0,8340.0,9393779.999999998,2.2299412200782477e-05,5M-10M,2025-10-31,200.47000122070312,194.5500030517578,199.1999969482422,204.17999267578125,197.9199981689453,23.65,23.65,23.8,433.0,1.759766826171875,True,PLTR,20.05,0.1795511221945136,0.030429185690479605,421256843697.0,17.95511221945136,-3972.0
AMZN251107C00220000,220.0,3035.0,多头买 Call，看涨,9.584492754129242,CALL,7968.0,4933.0,8306795.0,3.543953733719139e-06,5M-10M,2025-11-07,244.22000122070312,222.8600006103516,250.1999969482422,250.5,243.97999572753903,27.37,27.3,27.5,1720.0,0.8352067260742186,True,AMZN,11.35,1.4114537444933923,0.09584492754129242,2343934380679.0,141.14537444933924,3035.0
PLTR251107C00210000,210.0,11881.0,多头买 Call，看涨,3.0429185690479605,CALL,24469.0,12588.0,8150366.0,1.9347735525128616e-05,5M-10M,2025-11-07,200.47000122070312,194.5500030517578,199.1999969482422,204.17999267578125,197.9199981689453,6.86,6.8,6.95,21296.0,0.9073495593261718,False,PLTR,5.38,0.2750929368029741,0.030429185690479605,421256843697.0,27.509293680297407,11881.0
TSLA251107C00450000,450.0,4666.0,多头买 Call，看涨,3.740057084027075,CALL,14015.0,9349.0,7768889.999999999,5.469170940921053e-06,5M-10M,2025-11-07,456.55999755859375,440.1000061035156,446.7300109863281,457.7278137207031,443.68548583984375,16.65,16.6,16.75,32573.0,0.4935963726806641,True,TSLA,11.47,0.4516129032258063,0.03740057084027075,1420487690716.0,45.161290322580626,4666.0
AVGO251107C00355000,355.0,3890.0,空头卖 Call，看跌/看不涨,-1.8168768602310814,CALL,4530.0,640.0,7725539.999999999,4.890285579513354e-06,5M-10M,2025-11-07,369.6300048828125,376.4700012207031,378.2699890136719,378.8200073242188,365.1000061035156,19.86,20.2,21.55,266.0,0.5698285205078125,True,AVGO,23.58,-0.15776081424936383,-0.018168768602310814,1579772770810.0,-15.776081424936383,3890.0
AMZN251031C00235000,235.0,6497.0,多头买 Call，看涨,9.584492754129242,CALL,29455.0,22958.0,7705442.0,3.287396636832409e-06,5M-10M,2025-10-31,244.22000122070312,222.8600006103516,250.1999969482422,250.5,243.97999572753903,11.86,11.8,11.9,23032.0,1.2348671069335937,True,AMZN,3.83,2.096605744125326,0.09584492754129242,2343934380679.0,209.6605744125326,6497.0
QUBT251107C00016000,16.0,55843.0,多头买 Call，看涨,11.62323838614865,CALL,58303.0,2460.0,7427119.0,0.0023059522717404925,5M-10M,2025-11-07,16.709999084472656,14.970000267028809,15.3100004196167,16.790000915527344,15.170000076293944,1.33,1.3,1.4,3303.0,0.9882813671875,True,QUBT,0.54,1.462962962962963,0.11623238386148649,3220846802.0,146.2962962962963,55843.0
