contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
BABA281215C00155000,155.0,9984.0,14682.35294117647,空头卖 Call，看跌/看不涨,-1.0901018565131897,CALL,10052.0,68.0,28654080.0,8.477538461538461e-05,10M-50M,2028-12-15,28.7,29.424999999999997,lastPrice,mid,,124.76000213623048,126.13500213623048,124.38999938964844,125.0,123.43000030517578,28.7,0.0,0.0,10003.0,0.0312596875,False,BABA,28.7,0.06627017841971111,-0.02463891248937971,-0.010901018565131896,338000000000,-2.463891248937971,9984.0
SNDK270115C01700000,1700.0,454.0,346.56488549618325,多头买 Call，看涨,3.555590421550953,CALL,585.0,131.0,24697600.0,0.0030872,10M-50M,2027-01-15,544.0,520.15,mid,mid,0.029411764705882353,1700.010009765625,1641.6400146484375,1683.3800048828125,1708.800048828125,1657.0,529.0,536.0,552.0,621.0,1.0331850709152224,True,SNDK,516.9,0.018648466788426504,0.04585215803133716,0.035555904215509526,8000000000,4.585215803133716,454.0
SNDK260626P01550000,1550.0,1476.0,5089.655172413793,空头卖 Put，看涨/看不跌,3.555590421550953,PUT,1505.0,29.0,18450000.0,0.00230625,10M-50M,2026-06-26,125.0,144.4,mid,mid,0.128,1700.010009765625,1641.6400146484375,1683.3800048828125,1708.800048828125,1657.0,128.62,117.0,133.0,1517.0,1.0519303995513918,False,SNDK,128.62,0.06232686980609418,-0.13434903047091415,0.035555904215509526,8000000000,-13.434903047091415,1476.0
MU281215C01100000,1100.0,323.0,89.72222222222223,多头买 Call，看涨,5.63604325755577,CALL,683.0,360.0,14761100.0,7.769e-05,10M-50M,2028-12-15,457.0,435.8,mid,mid,0.030634573304157548,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,435.68,450.0,464.0,602.0,0.8412567754364014,False,MU,435.68,0.03579623680587431,0.04864616796695729,0.05636043257555771,190000000000,4.864616796695729,323.0
MSFT260626C00440000,440.0,10989.0,418.94776972931754,多头买 Call，看涨,3.209681117424115,CALL,13612.0,2623.0,14752732.500000002,3.0805455209855922e-06,10M-50M,2026-06-26,13.425,8.825,mid,mid,0.011173184357541926,440.6950073242188,426.989990234375,432.7124938964844,441.7898864746094,432.3599853515625,13.5,13.35,13.5,10126.0,0.2661816546630859,True,MSFT,8.7,0.05099150141643072,0.521246458923513,0.03209681117424115,4789000000000,52.124645892351296,10989.0
MSFT260626C00435000,435.0,8885.0,438.98221343873513,多头买 Call，看涨,3.209681117424115,CALL,10909.0,2024.0,14260425.0,2.9777458759657547e-06,10M-50M,2026-06-26,16.05,10.5,mid,mid,0.06853582554517143,440.6950073242188,426.989990234375,432.7124938964844,441.7898864746094,432.3599853515625,15.78,15.5,16.6,297.0,0.2761608029174803,True,MSFT,10.7,0.03809523809523796,0.5285714285714287,0.03209681117424115,4789000000000,52.85714285714287,8885.0
MU281215C00970000,970.0,-277.0,-51.87265917602997,空头平仓 Call，回补信号，看涨,5.63604325755577,CALL,257.0,534.0,13517600.0,7.114526315789474e-05,10M-50M,2028-12-15,488.0,464.975,mid,mid,0.03278688524590164,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,477.08,480.0,496.0,432.0,0.8415886507797241,True,MU,477.08,0.03881929135975055,0.04951879133286731,0.05636043257555771,190000000000,4.951879133286731,-277.0
MU260605P00765000,765.0,24984.0,12682.23350253807,空头卖 Put，看涨/看不跌,5.63604325755577,PUT,25181.0,197.0,12991679.999999998,6.837726315789473e-05,10M-50M,2026-06-05,5.199999999999999,8.125,mid,mid,0.13461538461538466,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,4.9,4.85,5.55,1.0,1.1560711141967772,False,MU,8.17,0.0061538461538462414,-0.3600000000000001,0.05636043257555771,190000000000,-36.00000000000001,24984.0
MU260717C00890000,890.0,763.0,164.43965517241378,多头买 Call，看涨,5.63604325755577,CALL,1227.0,464.0,12791695.0,6.732471052631578e-05,10M-50M,2026-07-17,167.65,145.425,mid,mid,0.020876826722338204,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,145.86,165.9,169.4,1154.0,0.8785870295715332,True,MU,144.44,0.015471892728210417,0.1528279181708784,0.05636043257555771,190000000000,15.28279181708784,763.0
MU280121P01100000,1100.0,280.0,34.3980343980344,空头卖 Put，看涨/看不跌,5.63604325755577,PUT,1094.0,814.0,12712000.0,6.690526315789474e-05,10M-50M,2028-01-21,454.0,466.05,mid,mid,0.03524229074889868,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,465.58,446.0,462.0,736.0,0.7606988041687013,True,MU,463.56,0.03454564960841116,-0.025855594893251822,0.05636043257555771,190000000000,-2.585559489325182,280.0
