Symbol,Market Cap,Option_Volume
IREN,11385103479.0,150356.0
SMCI,27229602973.0,240604.0
B,58822665879.0,72827.0
PBR,84292312263.0,24698.0
JOBY,13789861788.0,33838.0
KGC,29578148000.0,17029.0
RKT,41059176245.0,94154.0
RXRX,2049195245.0,12087.0
APLD,5677594728.0,65225.0
AMD,258778654648.0,326818.0
BMY,89803429173.0,58973.0
VALE,45675933021.0,18802.0
GOOGL,2981654760000.0,295716.0
WULF,4244562620.0,59653.0
CLSK,3642840631.0,55385.0
AG,5931013061.0,62808.0
OKLO,16315244213.0,102026.0
KHC,30832759551.0,15597.0
BE,16454737250.0,115059.0
HPE,31666801488.0,24747.0
NKE,102364181031.0,384432.0
CLF,6119380564.0,57713.0
JD,50138659319.0,200776.0
NGD,5407311000.0,5542.0
BAC,386716719160.0,142461.0
T,202427412939.0,23772.0
ORCL,805512250440.0,270208.0
PYPL,64296966657.0,210369.0
GGB,6381933069.0,22.0
RF,23762171467.0,2440.0
CSCO,265733899181.0,70958.0
BULL,6995600829.0,144637.0
NBIS,25644321099.0,98317.0
QUBT,3220846802.0,106527.0
ET,59934619531.0,48091.0
IONQ,19971246915.0,72608.0
LYFT,8888875736.0,73936.0
MU,176004804634.0,136573.0
CMG,53742670800.0,67952.0
HIMS,13199543530.0,131764.0
IAG,7142742000.0,4299.0
CORZ,5146132248.0,146910.0
AVGO,1579772770810.0,182788.0
PTON,3492494712.0,101354.0
SMR,10825319350.0,58523.0
BABA,396988232656.0,264425.0
CAG,8679913649.0,32210.0
HL,7818708939.0,30256.0
MSFT,3801767276203.0,208620.0
SNAP,13974915321.0,424565.0
NVDA,4330017000000.0,3413515.0
OPEN,6483756379.0,469950.0
PFE,135088679880.0,996191.0
INTC,155383500000.0,521929.0
DNN,2483451467.0,3032.0
NIO,15811773810.0,253493.0
AAL,7462663966.0,113153.0
SOFI,33504653798.0,596938.0
PATH,6483774310.0,161734.0
RGTI,10107470001.0,111729.0
TSLA,1420487690716.0,1154222.0
CRWV,58794801172.0,
PLUG,2736972559.0,53595.0
BBAI,2494832523.0,65254.0
F,47798122167.0,82441.0
NOK,26123262608.0,5884.0
MARA,5975485604.0,112362.0
SOUN,6498519590.0,96665.0
BTG,6509092025.0,14170.0
ITUB,70778996689.0,907.0
RIG,3008568705.0,14410.0
NU,76038433339.0,102465.0
HOOD,107467070071.0,649471.0
QS,7165840254.0,56685.0
BBD,35119161752.0,2680.0
RIVN,18917436294.0,94408.0
ABEV,36010086218.0,651.0
WOLF,189331119.0,
DKNG,21010613405.0,222246.0
CIFR,4510952041.0,65753.0
QBTS,9152411019.0,73148.0
RIOT,6538634054.0,156034.0
ONDS,1678802506.0,50395.0
PLTR,421256843697.0,431817.0
AMZN,2343934380679.0,588829.0
FCX,51328925291.0,169249.0
GRAB,24892983602.0,50294.0
CMCSA,117116790243.0,23088.0
ACHR,5985843980.0,65803.0
CCL,41517111678.0,123361.0
AAPL,3791126029400.0,491943.0
CVE,32389379000.0,10420.0
FSM,2661343079.0,3873.0
WBD,48302317222.0,82989.0
UUUU,3854577796.0,62922.0
KVUE,31511128086.0,137705.0
BMNR,217319983.0,153217.0
HBAN,25412296732.0,1562.0
