contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),bid,ask,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,openInterest_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct,amount_to_market_cap
MU260424C00480000,480.0,17.49,买 Call，看涨,5.576852140278675,CALL,27119.0,28512.0,47431130.99999999,0.026948770573980915,4748.0,10M-50M,2026-04-24,487.4800109863281,461.7300109863281,462.8500061035156,491.9800109863281,458.55999755859375,17.35,17.7,0.7691673474121095,True,MU,1393.0,6.5,4748.0,27119.0,1946.8054558506817,1.6907692307692306,0.05576852140278675,176004804634.0,169.07692307692307,0.00026948770573980915
MU261218P00360000,360.0,44.15,卖 Put，看涨,5.576852140278675,PUT,10141.0,10142.0,44772515.0,0.02543823453746273,668.0,10M-50M,2026-12-18,487.4800109863281,461.7300109863281,462.8500061035156,491.9800109863281,458.55999755859375,43.7,44.4,0.7020598641967774,False,MU,1.0,50.1,668.0,10141.0,1014100.0,-0.11876247504990026,0.05576852140278675,176004804634.0,-11.876247504990026,0.0002543823453746273
MU260424C00500000,500.0,8.19,买 Call，看涨,5.576852140278675,CALL,52486.0,54356.0,42986034.0,0.02442321622377808,12547.0,10M-50M,2026-04-24,487.4800109863281,461.7300109863281,462.8500061035156,491.9800109863281,458.55999755859375,8.15,8.3,0.7605004418945314,False,MU,1870.0,2.29,12547.0,52486.0,2806.7379679144383,2.5764192139737987,0.05576852140278675,176004804634.0,257.64192139737986,0.0002442321622377808
AAPL260422C00270000,270.0,2.77,买 Call，看涨,1.6030753220997402,CALL,155109.0,164503.0,42965193.0,0.0011333095409334058,12978.0,10M-50M,2026-04-22,273.1700134277344,268.8599853515625,267.82000732421875,273.739990234375,266.8699951171875,2.68,2.76,1.0000000000000004e-05,True,AAPL,9394.0,0.43,12978.0,155109.0,1651.149670002129,5.441860465116279,0.016030753220997403,3791126029400.0,544.1860465116279,1.1333095409334059e-05
MU260424C00470000,470.0,23.97,买 Call，看涨,5.576852140278675,CALL,16837.0,18043.0,40358288.99999999,0.022930220049347288,5328.0,10M-50M,2026-04-24,487.4800109863281,461.7300109863281,462.8500061035156,491.9800109863281,458.55999755859375,23.8,24.55,0.7912618530273439,True,MU,1206.0,10.02,5328.0,16837.0,1396.1028192371475,1.3922155688622755,0.05576852140278675,176004804634.0,139.22155688622755,0.0002293022004934729
MU260424C00460000,460.0,31.84,买 Call，看涨,5.576852140278675,CALL,11353.0,12456.0,36147952.0,0.020538048421558295,7529.0,10M-50M,2026-04-24,487.4800109863281,461.7300109863281,462.8500061035156,491.9800109863281,458.55999755859375,31.7,32.3,0.8313005151367187,True,MU,1103.0,14.95,7529.0,11353.0,1029.283771532185,1.1297658862876254,0.05576852140278675,176004804634.0,112.97658862876254,0.00020538048421558296
AMD260424C00300000,300.0,7.96,买 Call，看涨,5.472427686284618,CALL,44069.0,46210.0,35078924.0,0.013555570898115847,9330.0,10M-50M,2026-04-24,303.4599914550781,287.7149963378906,291.2099914550781,304.1000061035156,286.1400146484375,7.9,8.1,0.5603071313476562,True,AMD,2141.0,2.82,9330.0,44069.0,2058.337225595516,1.8226950354609932,0.05472427686284618,258778654648.0,182.26950354609932,0.00013555570898115846
AMD260424C00290000,290.0,14.7,买 Call，看涨,5.472427686284618,CALL,19562.0,20879.0,28756139.999999996,0.011112253458120466,6485.0,10M-50M,2026-04-24,303.4599914550781,287.7149963378906,291.2099914550781,304.1000061035156,286.1400146484375,14.7,15.0,0.540287800292969,True,AMD,1317.0,7.6,6485.0,19562.0,1485.3454821564162,0.9342105263157895,0.05472427686284618,258778654648.0,93.42105263157895,0.00011112253458120466
AMD260424C00285000,285.0,18.52,买 Call，看涨,5.472427686284618,CALL,15370.0,15752.0,28465239.999999996,0.010999840786219187,7482.0,10M-50M,2026-04-24,303.4599914550781,287.7149963378906,291.2099914550781,304.1000061035156,286.1400146484375,18.65,19.0,0.5083056982421875,True,AMD,382.0,9.6,7482.0,15370.0,4023.560209424084,0.9291666666666667,0.05472427686284618,258778654648.0,92.91666666666667,0.00010999840786219187
MRVL260717C00180000,180.0,14.46,买 Call，看涨,2.8235341988357843,CALL,19418.0,19489.0,28078428.000000004,0.039160519378450394,163.0,10M-50M,2026-07-17,157.32000732421875,153.0,153.66000366210938,158.68499755859375,151.08999633789062,14.45,14.9,0.7465235308837892,False,MRVL,71.0,11.8,163.0,19418.0,27349.295774647886,0.22542372881355932,0.028235341988357844,71700857000.0,22.54237288135593,0.0003916051937845039
AAPL261218P00280000,280.0,24.75,卖 Put，看涨,1.6030753220997402,PUT,10751.0,10759.0,26608725.0,0.0007018686478278648,2476.0,10M-50M,2026-12-18,273.1700134277344,268.8599853515625,267.82000732421875,273.739990234375,266.8699951171875,24.7,24.95,0.2387466262817382,True,AAPL,8.0,28.31,2476.0,10751.0,134387.5,-0.12575061815612854,0.016030753220997403,3791126029400.0,-12.575061815612854,7.018686478278648e-06
