contractSymbol,strike,lastPrice_new,bid,ask,volume_new,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,signal_type,stock_price_change_pct,option_price_change_pct,volume_change_abs,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier
NVDA251003C00185000,185.0,3.2,3.1,3.15,297177.0,80875.0,0.2893137475585937,True,CALL,2025-10-03,NVDA,0.0,1.35,297177.0,100.0,1.3703703703703702,0.02631283058960429,4330017000000.0,买Call，看涨,2.6312830589604292,137.037037037037,297177.0,95096640.0,0.0021962186291647357,80875.0,>50M
NVDA251003C00180000,180.0,6.69,6.65,6.7,87614.0,82145.0,0.2050860742187499,True,CALL,2025-10-03,NVDA,0.0,3.9,87614.0,100.0,0.7153846153846155,0.02631283058960429,4330017000000.0,买Call，看涨,2.6312830589604292,71.53846153846155,87614.0,58613766.0,0.001353661336664498,82145.0,>50M
ORCL251219C00280000,280.0,28.1,28.3,28.65,20677.0,32021.0,0.5630536859130859,False,CALL,2025-12-19,ORCL,0.0,30.2,20677.0,100.0,-0.06953642384105953,-0.01662191273414869,805512250440.0,卖Call，看跌,-1.662191273414869,-6.953642384105953,20677.0,58102370.00000001,0.007213095762139233,32021.0,>50M
TSLA251003P00440000,440.0,13.3,13.25,13.3,29340.0,5698.0,0.5814250842285156,True,PUT,2025-10-03,TSLA,0.0,10.17,29340.0,100.0,0.3077679449360866,-0.01841114555048675,1420487690716.0,买Put，看跌,-1.841114555048675,30.776794493608662,29340.0,39022200.0,0.0027470987784716933,5698.0,10M-50M
TSLA251003P00437500,437.5,11.85,11.85,11.95,22153.0,2982.0,0.583866466064453,True,PUT,2025-10-03,TSLA,0.0,9.21,22153.0,100.0,0.286644951140065,-0.01841114555048675,1420487690716.0,买Put，看跌,-1.841114555048675,28.6644951140065,22153.0,26251305.0,0.0018480487491424845,2982.0,10M-50M
TSLA251003C00440000,440.0,8.75,8.75,8.85,29934.0,16463.0,0.6073037316894532,False,CALL,2025-10-03,TSLA,0.0,13.7,29934.0,100.0,-0.36131386861313863,-0.01841114555048675,1420487690716.0,卖Call，看跌,-1.841114555048675,-36.131386861313864,29934.0,26192250.0,0.0018438913741517704,16463.0,10M-50M
CRWV251003C00140000,140.0,4.2,4.1,4.2,47200.0,19452.0,0.9150399121093752,False,CALL,2025-10-03,CRWV,0.0,0.43,47200.0,100.0,8.767441860465116,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,876.7441860465116,47200.0,19824000.0,0.033717266841342484,19452.0,10M-50M
TSLA251003P00435000,435.0,10.4,10.45,10.55,16964.0,3746.0,0.5797161169433593,False,PUT,2025-10-03,TSLA,0.0,8.06,16964.0,100.0,0.29032258064516125,-0.01841114555048675,1420487690716.0,买Put，看跌,-1.841114555048675,29.032258064516125,16964.0,17642560.0,0.00124200724267503,3746.0,10M-50M
CRWV251017C00115000,115.0,25.88,25.5,27.1,5548.0,11346.0,1.056645341796875,True,CALL,2025-10-17,CRWV,0.0,13.37,5548.0,100.0,0.9356768885564698,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,93.56768885564698,5548.0,14358224.0,0.024420907484653344,11346.0,10M-50M
CRWV251017C00120000,120.0,21.25,21.35,21.95,6235.0,14367.0,0.9389654541015624,True,CALL,2025-10-17,CRWV,0.0,10.65,6235.0,100.0,0.9953051643192488,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,99.53051643192488,6235.0,13249375.0,0.02253494311723225,14367.0,10M-50M
HOOD251003C00126000,126.0,13.63,13.1,13.4,7987.0,18064.0,0.68555001953125,True,CALL,2025-10-03,HOOD,0.0,11.6,7987.0,100.0,0.1750000000000001,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,17.50000000000001,7987.0,10886281.000000002,0.01012987605673793,18064.0,10M-50M
CRWV251017C00140000,140.0,9.24,9.0,9.45,10419.0,18219.0,0.848512257080078,False,CALL,2025-10-17,CRWV,0.0,3.54,10419.0,100.0,1.6101694915254237,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,161.01694915254237,10419.0,9627156.0,0.01637416201448907,18219.0,5M-10M
BA260220P00215000,215.0,17.46,17.15,17.5,4904.0,704.0,0.3154975677490234,True,PUT,2026-02-20,BA,0.0,15.75,4904.0,100.0,0.10857142857142862,-0.014879287360854533,167307451596.0,买Put，看跌,-1.4879287360854534,10.857142857142863,4904.0,8562384.000000002,0.005117754121720608,704.0,5M-10M
HOOD251003C00140000,140.0,3.04,2.98,3.05,25395.0,17771.0,0.6103554589843752,False,CALL,2025-10-03,HOOD,0.0,2.54,25395.0,100.0,0.19685039370078738,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,19.685039370078737,25395.0,7720080.0,0.00718367030467993,17771.0,5M-10M
CRWV251003C00130000,130.0,10.05,9.95,10.55,7600.0,11666.0,1.0253954980468751,True,CALL,2025-10-03,CRWV,0.0,1.8,7600.0,100.0,4.583333333333333,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,458.3333333333333,7600.0,7638000.0,0.012990944518471244,11666.0,5M-10M
CRWV251003C00135000,135.0,6.7,6.7,6.95,10067.0,7471.0,0.962646857910156,True,CALL,2025-10-03,CRWV,0.0,0.86,10067.0,100.0,6.790697674418604,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,679.0697674418604,10067.0,6744890.000000001,0.011471915655039475,7471.0,5M-10M
CRWV251121C00150000,150.0,15.15,14.95,15.3,4025.0,7342.0,0.956177196044922,False,CALL,2025-11-21,CRWV,0.0,9.35,4025.0,100.0,0.6203208556149734,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,62.03208556149734,4025.0,6097875.0,0.010371452710863161,7342.0,5M-10M
CRWV251017C00150000,150.0,5.5,5.5,5.65,10380.0,11319.0,0.839723282470703,False,CALL,2025-10-17,CRWV,0.0,2.0,10380.0,100.0,1.75,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,175.0,10380.0,5709000.0,0.009710042191143273,11319.0,5M-10M
JD260116C00040000,40.0,2.34,2.34,2.36,21244.0,399218.0,0.5542036767578126,False,CALL,2026-01-16,JD,0.0,2.62,21244.0,100.0,-0.10687022900763368,-0.024831603161874605,50138659319.0,卖Call，看跌,-2.4831603161874605,-10.687022900763369,21244.0,4971096.0,0.009914696698154847,399218.0,<=5M
SOFI251121C00027000,27.0,2.52,2.49,2.53,19527.0,18013.0,0.7587914746093751,False,CALL,2025-11-21,SOFI,0.0,3.3,19527.0,100.0,-0.2363636363636363,-0.06116150680961559,33504653798.0,卖Call，看跌,-6.1161506809615585,-23.63636363636363,19527.0,4920804.0,0.014686926865944033,18013.0,<=5M
CRWV251003C00125000,125.0,14.58,14.0,15.1,3145.0,4245.0,1.1782267651367184,True,CALL,2025-10-03,CRWV,0.0,3.3,3145.0,100.0,3.418181818181819,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,341.81818181818187,3145.0,4585410.0,0.007799005879083951,4245.0,<=5M
CRWV251003C00145000,145.0,2.43,2.31,2.48,18764.0,4552.0,0.9023447265625,False,CALL,2025-10-03,CRWV,0.0,0.22,18764.0,100.0,10.045454545454545,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,1004.5454545454545,18764.0,4559652.0,0.00775519588315481,4552.0,<=5M
MSTR251024P00300000,300.0,11.0,10.8,11.25,4072.0,881.0,0.5719647296142578,False,PUT,2025-10-24,MSTR,0.0,9.5,4072.0,100.0,0.15789473684210525,-0.027816974193752862,87634873800.0,买Put，看跌,-2.7816974193752864,15.789473684210526,4072.0,4479200.0,0.005111207223533424,881.0,<=5M
CRWV251010C00130000,130.0,12.18,12.05,12.95,3349.0,2918.0,0.8854991918945312,True,CALL,2025-10-10,CRWV,0.0,4.33,3349.0,100.0,1.812933025404157,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,181.29330254041568,3349.0,4079082.0,0.006937827696817847,2918.0,<=5M
CRWV251010C00150000,150.0,3.6,3.4,3.75,10267.0,3718.0,0.8425308715820312,False,CALL,2025-10-10,CRWV,0.0,0.95,10267.0,100.0,2.789473684210527,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,278.9473684210527,10267.0,3696120.0000000005,0.006286474188742071,3718.0,<=5M
